class,ExtractionTurbine,Sink,BackpressureTurbine,Sink
label,extr_turbine,electrical_demand,bp_turbine,heat_demand
source,extr_turbine,electrical_balance,bp_turbine,heat_balance
target,electrical_balance,electrical_demand,electrical_balance,heat_demand
attribute,max,variable_costs,max,actual_value
,0.97,-48.21,0.99,0.1269002312
,0.97,-43.92,0.99,0.1213861267
,0.97,-48.65,0.99,0.1237197599
,0.97,-47.56,0.99,0.1263291388
,0.97,-44.45,0.99,0.1321229022
,0.97,-39.83,0.99,0.1465407975
,0.97,-38.84,0.99,0.1831344883
,0.97,-41.27,0.99,0.2520080944
,0.97,-47.06,0.99,0.2981848543
,0.97,-63.13,0.99,0.2791958332
,0.97,-65.39,0.99,0.2578288263
,0.97,-67.59,0.99,0.2400606312
,0.97,-68.99,0.99,0.2214337026
,0.97,-70.07,0.99,0.210736122
,0.97,-71.2,0.99,0.2050894987
,0.97,-68.92,0.99,0.2052098338
,0.97,-67.28,0.99,0.2077736323
,0.97,-65.2,0.99,0.2140788775
,0.97,-67.28,0.99,0.2252491553
,0.97,-79.68,0.99,0.2405159524
,0.97,-79.2,0.99,0.2502901799
,0.97,-72.48,0.99,0.2389013683
,0.97,-65.13,0.99,0.2211595052
,0.97,-51.04,0.99,0.1839379346
,0.97,-50,0.99,0.1269002312
,0.97,-44.82,0.99,0.1213861267
,0.97,-47.76,0.99,0.1154860344
,0.97,-45.93,0.99,0.1179217554
,0.97,-45.91,0.99,0.1233299357
,0.97,-42.99,0.99,0.1367882996
,0.97,-42.4,0.99,0.1709466284
,0.97,-47.89,0.99,0.2352365983
,0.97,-55.39,0.99,0.2783402294
,0.97,-82,0.99,0.2606149545
,0.97,-83,0.99,0.2406699522
,0.97,-84.85,0.99,0.2240842557
,0.97,-88.66,0.99,0.2066969757
,0.97,-90.28,0.99,0.1967113342
,0.97,-82.92,0.99,0.1914405016
,0.97,-81.58,0.99,0.1915528283
,0.97,-77.49,0.99,0.1939460024
,0.97,-73.69,0.99,0.1998316246
,0.97,-79.93,0.99,0.2102585046
,0.97,-104.94,0.99,0.2245092746
,0.97,-98.03,0.99,0.2336330134
,0.97,-84.14,0.99,0.2230021434
,0.97,-69.66,0.99,0.2064410265
,0.97,-58,0.99,0.1716966041
,0.97,-51.71,0.99,0.1184548408
,0.97,-48.18,0.99,0.1133077078
